Market,state_code,Count_of_Market
 Enterprise Software ,WA,42
 Enterprise Software ,WI,5
 Finance ,AL,1
 Finance ,AR,1
 Finance ,AZ,7
 Finance ,CA,143
 Finance ,CO,20
 Finance ,CT,8
 Finance ,DC,2
 Finance ,DE,3
 Finance ,FL,37
 Finance ,GA,16
 Finance ,HI,1
 Finance ,IA,2
 Finance ,ID,4
 Finance ,IL,22
 Finance ,IN,5
 Finance ,KS,5
 Finance ,LA,4
 Finance ,MA,34
 Finance ,MD,4
 Finance ,ME,1
 Finance ,MI,6
 Finance ,MN,4
 Finance ,MO,2
 Finance ,NC,7
 Finance ,NE,3
 Finance ,NJ,11
 Finance ,NM,1
 Finance ,NV,10
 Finance ,NY,100
 Finance ,OH,12
 Finance ,OR,7
 Finance ,PA,14
 Finance ,RI,1
 Finance ,SC,4
 Finance ,TN,4
 Finance ,TX,25
 Finance ,UT,15
 Finance ,VA,8
 Finance ,VT,3
 Finance ,WA,21
 Finance ,WI,1
 Finance ,WY,1
 Games ,AL,1
 Games ,AR,3
 Games ,AZ,7
 Games ,CA,259
 Games ,CO,8
 Games ,CT,5
 Games ,DC,3
 Games ,DE,1
 Games ,FL,27
 Games ,GA,13
 Games ,HI,4
 Games ,IA,1
 Games ,ID,1
 Games ,IL,7
 Games ,IN,5
 Games ,KS,1
 Games ,KY,5
 Games ,LA,2
 Games ,MA,25
 Games ,MD,4
 Games ,MI,8
 Games ,MN,2
 Games ,MO,6
 Games ,MS,2
 Games ,NC,4
 Games ,NE,2
 Games ,NH,2
 Games ,NJ,5
 Games ,NM,1
 Games ,NV,13
 Games ,NY,58
 Games ,OH,5
 Games ,OK,1
 Games ,OR,6
 Games ,PA,11
 Games ,RI,3
 Games ,SC,2
 Games ,TN,2
 Games ,TX,20
 Games ,UT,2
 Games ,VA,4
 Games ,WA,26
 Games ,WI,3
 Hardware + Software ,AL,3
 Hardware + Software ,AZ,5
 Hardware + Software ,CA,268
 Hardware + Software ,CO,21
 Hardware + Software ,CT,11
 Hardware + Software ,DC,5
